Player Name,Club,Position,market_value_in_eur,ML Estimated Value,Final Valuation,Valuation Type
Ben White,Arsenal,DEF,45000000.0,19446000.0,45000000.0,Transfermarkt
Bukayo Saka,Arsenal,MID,150000000.0,104780000.0,150000000.0,Transfermarkt
David Raya,Arsenal,GKP,40000000.0,19437000.0,40000000.0,Transfermarkt
Declan Rice,Arsenal,MID,120000000.0,88041000.0,120000000.0,Transfermarkt
Ethan Nwaneri,Arsenal,MID,55000000.0,41527000.0,55000000.0,Transfermarkt
Gabriel Jesus,Arsenal,FWD,32000000.0,28420000.0,32000000.0,Transfermarkt
Gabriel Martinelli,Arsenal,MID,55000000.0,48144000.0,55000000.0,Transfermarkt
Jakub Kiwior,Arsenal,DEF,28000000.0,23962000.0,28000000.0,Transfermarkt
Jorginho,Arsenal,MID,6000000.0,5473000.0,6000000.0,Transfermarkt
Jurriën Timber,Arsenal,DEF,55000000.0,29291000.0,55000000.0,Transfermarkt
Kai Havertz,Arsenal,FWD,65000000.0,60178000.0,65000000.0,Transfermarkt
Kieran Tierney,Arsenal,DEF,9000000.0,15814000.0,9000000.0,Transfermarkt
Leandro Trossard,Arsenal,MID,22000000.0,29539000.0,22000000.0,Transfermarkt
Martin Ødegaard,Arsenal,MID,85000000.0,75868000.0,85000000.0,Transfermarkt
Mikel Merino,Arsenal,MID,35000000.0,32972000.0,35000000.0,Transfermarkt
Myles Lewis-Skelly,Arsenal,DEF,45000000.0,31631000.0,45000000.0,Transfermarkt
Oleksandr Zinchenko,Arsenal,DEF,20000000.0,21006000.0,20000000.0,Transfermarkt
Raheem Sterling,Arsenal,MID,10000000.0,12897000.0,10000000.0,Transfermarkt
Riccardo Calafiori,Arsenal,DEF,35000000.0,21854000.0,35000000.0,Transfermarkt
Takehiro Tomiyasu,Arsenal,DEF,18000000.0,12270000.0,18000000.0,Transfermarkt
Thomas Partey,Arsenal,MID,14000000.0,14853000.0,14000000.0,Transfermarkt
William Saliba,Arsenal,DEF,80000000.0,60348000.0,80000000.0,Transfermarkt
Amadou Onana,Aston Villa,MID,50000000.0,40576000.0,50000000.0,Transfermarkt
Andrés García,Aston Villa,DEF,7000000.0,7955000.0,7000000.0,Transfermarkt
Axel Disasi,Aston Villa,DEF,22000000.0,18403000.0,22000000.0,Transfermarkt
Boubacar Kamara,Aston Villa,MID,40000000.0,32421000.0,40000000.0,Transfermarkt
Diego Carlos,Aston Villa,DEF,11000000.0,8374000.0,11000000.0,Transfermarkt
Donyell Malen,Aston Villa,FWD,25000000.0,23632000.0,25000000.0,Transfermarkt
Emiliano Buendía,Aston Villa,MID,18000000.0,15601000.0,18000000.0,Transfermarkt
Emiliano Martínez,Aston Villa,GKP,20000000.0,15883000.0,20000000.0,Transfermarkt
Ezri Konsa,Aston Villa,DEF,35000000.0,28699000.0,35000000.0,Transfermarkt
Ian Maatsen,Aston Villa,DEF,28000000.0,26650000.0,28000000.0,Transfermarkt
Jacob Ramsey,Aston Villa,MID,32000000.0,28990000.0,32000000.0,Transfermarkt
Jhon Durán,Aston Villa,FWD,40000000.0,20695000.0,40000000.0,Transfermarkt
John McGinn,Aston Villa,MID,16000000.0,16005000.0,16000000.0,Transfermarkt
Kosta Nedeljkovic,Aston Villa,DEF,8500000.0,8500000.0,8500000.0,Transfermarkt
Lamare Bogarde,Aston Villa,DEF,6000000.0,9861000.0,6000000.0,Transfermarkt
Leon Bailey,Aston Villa,MID,28000000.0,25250000.0,28000000.0,Transfermarkt
Lucas Digne,Aston Villa,DEF,10000000.0,11267000.0,10000000.0,Transfermarkt
Marco Asensio,Aston Villa,DEF,20000000.0,20608000.0,20000000.0,Transfermarkt
