Feature,Importance
previous_market_value,0.8796367761272222
age,0.019154425373453528
Touches,0.012996327108875404
Shots,0.008717794692546224
Minutes,0.008500119781006309
contract_years_remaining,0.0068090145531079565
Goals,0.005982399162736714
height_in_cm,0.0059525578797987875
Clean Sheets,0.005873806871838373
Appearances,0.005581731574668387
Ground Duels,0.005526395043129801
Assists,0.004743158716570935
Interceptions,0.004072012538797879
international_caps,0.004029569389846632
Possession Won,0.0036828007176441255
Tackles,0.0035815297468140142
international_goals,0.0031477503860932263
Shots On Target,0.0025996581172384706
Aerial Duels,0.002110394807340359
Progressive Carries,0.0017884466376452276
Successful Passes,0.001603697499824235
Passes,0.0013411985040687466
Carries Ended with Chance,0.0012617840052033449
Position_FWD,0.0005044213335451766
Position_DEF,0.0004576610120598905
Position_MID,0.00033166378977067464
Position_GKP,1.2904629153344657e-05
