Feature,Importance
age,0.27419433531260395
Shots,0.15661710290606495
Appearances,0.14495084205736106
Touches,0.07411316816589715
contract_years_remaining,0.056825796907015065
international_caps,0.039795115881302974
Minutes,0.037745854922075446
Position_Performance_Score,0.022480413526179594
height_in_cm,0.021930480644456248
Clean Sheets,0.016486780419590473
international_goals,0.015431132872860798
Tackles,0.014492329673740062
Clearances,0.011141603306843648
Goals,0.010975793606844716
High Claims,0.010403063758448437
Fouls,0.009300353320989494
aDuels %,0.007171777683052906
Ground Duels,0.006853578559767985
Position_GKP,0.006802538946562423
Saves,0.006226521231716183
Yellow Cards,0.005519714931867816
Progressive Carries,0.005468905046252754
Conversion %,0.004051564638877582
Assists,0.00400262153774251
Shots On Target,0.0036472963063492484
Carries,0.0031887532529006313
Position_DEF,0.0031310741746807366
gDuels %,0.0030024757428915244
Blocks,0.002857178042788944
Carries Ended with Chance,0.0027257531967529386
Aerial Duels,0.0024248707199622946
Passes,0.002258071696115852
Carries Ended with Shot,0.002136329973966363
Passes%,0.0021150231583967156
Interceptions,0.0017787826342548925
Position_MID,0.0016390560882582035
Through Balls,0.0013639810534565137
Successful Passes,0.0011113541908004437
Position_FWD,0.001096875077814057
Punches,0.0007906664471010744
Red Cards,0.0004929117480170526
Saves %,0.0003461098231716121
Goals Prevented,0.0003452808086894323
Carries Ended with Assist,0.0003286074955003262
Carries Ended with Goal,0.00022523754936599628
Penalties Saved,1.2920960651045999e-05
