Feature,Importance
Shots,0.26035644742679487
age,0.11744721716238055
contract_years_remaining,0.07197991127589454
Goals,0.06996251248987903
Minutes,0.06502657133911935
Appearances,0.05439593843277899
Touches,0.05143381989438722
international_caps,0.05104530719555448
Ground Duels,0.04751572577840866
Clean Sheets,0.03986491761377809
Assists,0.03714866083679164
Carries Ended with Chance,0.03167521831379212
international_goals,0.017418613043774633
height_in_cm,0.0173351767686875
Progressive Carries,0.012467858770534374
Tackles,0.011504210611640224
Aerial Duels,0.009052459383421809
Shots On Target,0.007902409300805416
Interceptions,0.006931191820612722
Possession Won,0.0068964818698120794
Successful Passes,0.005173687421692862
Passes,0.004827493421054152
Position_MID,0.0012220219855566764
Position_DEF,0.0009637499598438245
Position_FWD,0.00032648574853355036
Position_GKP,0.00012591213447064528
