Feature,Importance
Shots,0.24965545199610326
age,0.10530263935180761
Goals,0.05941708511503163
contract_years_remaining,0.05929875258569951
Minutes,0.0579383989446519
Conversion %,0.055107575309696004
Appearances,0.04620017659095855
international_caps,0.0437489308867736
Touches,0.04356586634128092
Clean Sheets,0.03449967712923718
Blocks,0.03116956202838923
Ground Duels,0.030046475155100734
Assists,0.027380672587207177
Clearances,0.01778504925100992
Carries Ended with Chance,0.01754300794916276
international_goals,0.01431959503704516
height_in_cm,0.013737487675586989
Position_Performance_Score,0.011004896118750256
Fouls,0.010516107634614138
Tackles,0.007936744636371479
Aerial Duels,0.006567874008876833
Progressive Carries,0.005958624779098826
Carries,0.005120043526522461
aDuels %,0.004903113283521739
Shots On Target,0.004762751627867827
gDuels %,0.004714794618480236
Interceptions,0.004714457262216126
Yellow Cards,0.004490578282063438
Passes%,0.004291327428226357
Carries Ended with Shot,0.0038243266476794386
Through Balls,0.003577006589854065
Passes,0.003431539674384723
Successful Passes,0.002955614691714415
Carries Ended with Assist,0.001009254674602076
Position_MID,0.0009810228826620671
Carries Ended with Goal,0.0009016098362686571
Position_DEF,0.0004427497413643377
Position_FWD,0.000380036084085495
Red Cards,0.0003571906220623734
High Claims,0.00014606063205279473
Saves,7.831562756784086e-05
Position_GKP,6.872021818123562e-05
Goals Prevented,5.707313088963371e-05
Saves %,3.505493968031235e-05
Penalties Saved,3.335230724669586e-05
Punches,2.3354558351789222e-05
